recipe_id,step_number,instruction
00000008,4,"To cream, increase speed to high and beat until fluffy and the color lightens."
00000008,5,Stir the flour mixture into the creamed mixture until no flour is visible.
00000008,6,"(Over mixing develops the gluten, making a tough cookie.) Now add the oats and raisins; stir to incorporate."
00000008,7,"Fill a #40 cookie scoop and press against side of bowl, pulling up to level dough (to measure 2 tablespoons of dough)."
00000008,8,Drop 2-inches apart onto baking sheet sprayed with nonstick spray.
00000008,9,"Bake 11-13 minutes (on center rack), until golden, but still moist beneath cracks on top."
00000008,10,Remove from oven; let cookies sit on baking sheet for 2 minutes before transferring to a wire rack to cool.
00000009,1,Preheat oven to 275°F (135C).
00000009,2,Grease and flour a 9 x 13 pan.
00000009,3,"In a small bowl, mix mashed banana with the lemon juice; set aside."
00000009,4,"In a medium bowl, mix flour, baking soda and salt; set aside."
00000009,5,"In a large bowl, cream 3/4 cup butter and 2 1/8 cups sugar until light and fluffy."
00000009,6,"Beat in eggs, one at a time, then stir in 2 tsp vanilla."
00000009,7,Beat in the flour mixture alternately with the buttermilk.
00000009,8,Stir in banana mixture.
00000009,9,Pour batter into prepared pan and bake in preheated oven for one hour or until toothpick inserted in center comes out clean.
00000009,10,Remove from oven and place directly into the freezer for 45 minutes. This will make the cake very moist.
00000009,11,"For the frosting, cream the butter and cream cheese until smooth."
00000009,12,Beat in 1 teaspoon vanilla.
00000009,13,"Add icing sugar and beat on low speed until combined, then on high speed until frosting is smooth."
00000009,14,Spread on cooled cake.
00000009,15,"Sprinkle chopped walnuts over top of the frosting, if desired."
00000010,1,Meatloaf: Combine meat loaf ingredients and place into a loaf baking dish.
00000010,2,Smooth out top.
00000010,3,Sauce: Combine sauce ingredients and pour on top and sides of meatloaf.
00000010,4,Bake at 350°F about 1 hour to 1 hour 15 minutes or until done.
00000010,5,ENJOY!
00000010,6,*The addition of 1 or 2 teaspoons of Kitchen Bouquet® makes this recipe very good.
00000010,7,"**Recipe should be""plump"" from the addition of the milk or Half & Half."
00000010,8,It should NOT be runny.
00000010,9,***A second batch of sauce served hot is good to serve with the meatloaf.
00000010,10,"Nita's Note: I note that some of you are using game meat such as deer -- Deer is a very DRY meat. It is wise to HAVE some fat added to the deer -- especially to ground deer. Maybe 25 % fat, ( I recommend 1 lb of ground venison, and 1/2 lb of deer sausage for fat content), otherwise your results will be poor. I don't know about some of the other game meat some are using. Please consult an expert. The recipe is delicious as it stands! Enjoy! Nita Holleman."
00000011,1,"In large, heavy stockpot, brown Italian sausage, breaking up as you stir."
00000011,2,"Add onions and continue to cook, stirring occasionally until onions are softened."
00000011,3,"Add garlic, tomatoes, tomato paste, tomato sauce and water."
00000011,4,"Add basil, parsley, brown sugar, salt, crushed red pepper, and black pepper."
00000011,5,Stir well and barely bring to a boil.
00000011,6,Stir in red wine.
00000011,7,"Simmer on low, stirring frequently for at least an hour. A longer simmer makes for a better sauce, just be careful not to let it burn!"
00000011,8,Cook spaghetti according to package directions.
00000011,9,Spoon sauce over drained spaghetti noodles and sprinkle with parmesan cheese.
00000012,1,Preheat oven to 350°F.
00000012,2,Grease an 8 inch square pan or line with foil.
00000012,3,In a medium bowl combine melted butter and cocoa and stir until cocoa is dissolved.
00000012,4,Add sugar and mix well.
00000012,5,Add eggs one at a time and stir until well combined.
00000012,6,"Stir in vanilla, flour and salt until you no longer see any flour (do not overmix)."
00000012,7,"Fold in ""WHATEVER FLOATS YOUR BOAT""!"
00000012,8,Spread in pan and bake for approximately 25 minutes.
00000012,9,"DO NOT OVER-BAKE -- your brownies will come out dry. Adjust time/temp accordingly for your oven. If you do the knife/toothpick test, it should come out with moist crumbs, not clean."
00000012,10,Cool completely before cutting into squares.
00000012,11,For vegetarian omit the marshmallows.
00000012,12,"For double recipe, bake in 9x12 pan and add 5 minutes to baking time."
00000013,1,Empty the ice cubes that are left in the trays (if there are any left) into the bin.
00000013,2,Take the trays over to the sink and fill them with cold water. (Hot water will freeze faster and more clear).
00000013,3,Place the water filled ice trays back in the freezer.
00000013,4,Replace the ice bin if you had to remove it.
00000013,5,Shut the door to the freezer.
00000013,6,Be sure to leave for around 4-6 hours at least to make sure it is frozen.
00000013,7,"If you want to experiment, you can freeze things like fruit infused waters or juices."
00000014,1,Beat egg until fluffy.
00000014,2,Add milk and melted margarine.
00000014,3,Add dry ingredients and mix well.
00000014,4,Heat a heavy griddle or fry pan which is greased with a little butter on a paper towel.
00000014,5,The pan is hot enough when a drop of water breaks into several smaller balls which 'dance' around the pan.
00000014,6,Pour a small amount of batter (approx 1/4 cup) into pan and tip to spread out or spread with spoon.
00000014,7,"When bubbles appear on surface and begin to break, turn over and cook the other side."
00000015,1,Preheat oven to 375 degrees.
00000015,2,Mix dry ingredients and beer.
00000015,3,Pour into a greased loaf pan.
00000015,4,Pour melted butter over mixture.
00000015,5,"Bake 1 hour, remove from pan and cool for at least 15 minutes."
00000015,6,"UPDATED NOTES: This recipe makes a very hearty bread with a crunchy, buttery crust. If you prefer a softer crust (like a traditional bread) mix the butter into the batter instead of pouring it over the top."
00000015,7,"Sifting flour for bread recipes is a must-do. Most people just scoop the 1 cup measure in the flour canister and level it off. That compacts the flour and will turn your bread into a ""hard biscuit"" as some have described. That's because they aren't sifting their flour! If you do not have a sifter, use a spoon to spoon the flour into the 1 cup measure. Try it once the ""correct"" way and you will see an amazing difference in the end product."
00000015,8,I have had many email from you kind folks about using non-alcoholic beverages instead of beer. That is fine to do but I highly recommend adding a packet of Dry Active Yeast or 2 teaspoons of Bread (Machine) Yeast so that you get a proper rise.
00000015,9,"The final result should be a thick, hearty and very tasteful bread, NOT A BRICK! ;)."
00000015,10,Thank you all for the incredibly nice comments and those of you who left a bad review - learn to sift sift SIFT! You will be amazed at the results you get.
00000016,1,Mix all ingredients together in a large bowl.
00000016,2,"Shape into small meatballs (at this point you can place on a jelly-roll/baking sheet and freeze to use later, or cover with plastic wrap refrigerate up to 24 hours before using)."
00000016,3,"Drop the meatballs into simmering pasta sauce, do not stir for at least 20 minutes or you will risk breaking the meatballs."
00000016,4,Continue cooking in the simmering sauce for another 20 minutes (depending on how fast your sauce is simmering 40 minutes total should fully cook the meatballs).
00000016,5,After the 40 minutes cooking time continue cooking your sauce with the meatballs in for as long as desired.
00000016,6,**note** you may also bake the meatballs at 350 degrees F for 25 minutes or until cooked through.
00000017,1,Place all the ingredients in a saucepan over a high heat.
00000017,2,"Bring to the boil, then reduce to a simmer for about 20 minutes."
00000017,3,Remove any scum that rises to the surface.
00000017,4,"Increase the heat, turning the drumsticks frequently in the liquid, and cook until the liquid has reduced to a sticky glaze."
00000017,5,"Arrange the chicken on a serving platter, remove the garlic clove and chili from the liquid, and spoon the glaze over."
00000017,6,"NOTE It's a glaze rather than a sauce, so there's not a whole lot of it."
00000018,1,Brown ground meat/turkey & onion; drain.
00000018,2,Add taco seasoning and stir in refried beans.
00000018,3,Mix soup and sour cream in a separate bowl.
00000018,4,Spread 1/2 sour cream mixture in the bottom of a casserole dish.
00000018,5,Tear up 3 tortillas and spread over sour cream mixture.
00000018,6,Put 1/2 the meat bean mixture over that.
00000018,7,Add a layer of cheese.
00000018,8,You could put some hot sauce on this now.
00000018,9,Repeat the layers.
00000018,10,"Sprinkle cheese over the top and bake, uncovered, at 350°F for 20-30 minutes."
00000019,1,Preheat oven to 350°F.
00000019,2,Butter an 11 x 7-inch pan (if using more than 4 breasts use a larger pan).
00000019,3,"In a bowl, combine melted butter with fresh minced garlic, 1 teaspoon garlic powder and salt."
00000019,4,"In another bowl, combine the dry breadcrumbs with 1/2 cup finely grated cheddar cheese, Parmesan cheese 1 teaspoon garlic powder and coarse ground black pepper."
00000019,5,Dip chicken in butter mixture; then in crumb mixture.
00000019,6,"Place in prepared pan and bake uncovered for 35-45 minutes or until cooked through, larger breasts may take more time (placing the chicken on a rack in a pan will produce an extra crispy crust)."
00000019,7,Top with shredded cheddar or mozzarella the last 5 minutes of cooking (this is only optional.
00000020,1,Preheat oven to 350°.
00000020,2,Lightly grease 9 x 5 loaf pan.
00000020,3,"In large bowl, combine flour, soda and salt."
00000020,4,"In separate bowl, cream together butter and brown sugar."
00000020,5,Stir in eggs and mashed bananas until well blended.
00000020,6,Stir banana mixture into flour mixture; stir just to moisten.
00000020,7,Pour batter into prepared loaf pan.
00000020,8,Bake in preheated oven for 60-65 minutes until a toothpick inserted into center of loaf comes out clean.
00000020,9,"Let bread cool in pan for 10 minutes, then turn out onto a wire rack."
00000021,1,"In a small sauce pan, melt butter and blend in flour."
00000021,2,Let sit for a minute.
00000021,3,"Add all of cold milk, stirring with a whisk."
00000021,4,Season with salt and cayenne.
00000021,5,"Cook sauce on low until smooth and boiling, stirring occasionally with a whisk."
00000021,6,Reduce heat and stir in cheese.
00000021,7,Place a half of the sliced potatoes in a lightly greased one quart casserole dish.
00000021,8,Pour half of cheese sauce over potatoes.
00000021,9,Repeat with second layer of potatoes and cheese sauce.
00000021,10,Sprinkle the remaining cheese on top.
00000021,11,Top with some paprika for color.
00000021,12,Bake uncovered for about 1 hour at 350°F.
00000022,1,"In a bowl, combine 2 tablespoons cornstarch, 2 tablespoons water and garlic powder until smooth."
00000022,2,Add beef and toss.
00000022,3,"In a large skillet or wok over medium-high heat, stir-fry beef in 1 tablespoon oil until beef reaches desired doneness; remove and keep warm."
00000022,4,Stir-fry onion in remaining oil for 4-5 minutes until softened. Add the broccoli and cook for 3 minutes until the broccoli is tender but still crisp. Return beef to pan.
00000022,5,"Combine soy sauce, brown sugar, ginger and remaining 1 tablespoon cornstarch and 1/2 cup water until smooth; add to the pan."
00000022,6,Cook and stir for 2 minutes.
00000022,7,Serve over rice and garnish with toasted sesame seeds (optional).
00000023,1,"Mix chicken, picante sauce or salsa, cumin, oregano, cheese and onions."
00000023,2,Place about 1/4 cup of the chicken mixture in the center of each tortilla.
00000023,3,Fold opposite sides over filling.
00000023,4,Roll up from bottom and place seam-side down on a baking sheet.
00000023,5,Brush with melted margarine.
00000023,6,Bake at 400°F for 25 minutes or until golden.
00000023,7,Garnish with additional cheese and green onion and serve salsa on the side.
00000024,1,"In a frying pan, cook chicken and onion together in oil over medium-high heat until chicken is just done."
00000024,2,Divide cooked chicken evenly between 8 tortillas; add 1 1/2 tablespoons cheese to each tortilla.
00000024,3,"Roll enchiladas and place seam-side down in a 9x13"" baking dish that has been lightly sprayed with no-stick cooking spray."
00000024,4,"Melt butter in a medium saucepan; stir in flour to make a roux, stir and cook until bubbly, and gradually whisk in chicken broth then bring to boiling, stirring frequently."
00000024,5,Remove from heat; stir in sour cream and green chilies.
00000024,6,Pour sauce evenly over enchiladas.
00000024,7,Top with remaining 3/4 cup cheese (a baking dish may be double-wrapped and frozen at this point) and bake at 400° F for 20 minutes until cheese is melted and sauce near edges of baking dish is bubbly.
00000025,1,Preheat oven to 400°F.
00000025,2,Cook and drain macaroni according to package directions; set aside.
00000025,3,In a large saucepan melt butter.
00000025,4,"Add flour mixed with salt and pepper, using a whisk to stir until well blended."
00000025,5,Pour milk and cream in gradually; stirring constantly.
00000025,6,Bring to boiling point and boil 2 minutes (stirring constantly).
00000025,7,Reduce heat and cook (stirring constantly) 10 minutes.
00000025,8,"Add shredded cheddar little by little and simmer an additional 5 minutes, or until cheese melts."
00000025,9,Turn off flame.
00000025,10,Add macaroni to the saucepan and toss to coat with the cheese sauce.
00000025,11,Transfer macaroni to a buttered baking dish.
00000025,12,Sprinkle with breadcrumbs.
00000025,13,Bake 20 minutes until the top is golden brown.
00000025,14,"(You can also freeze this recipe in zip-lock bags for later use - once you have mixed the macaroni along with the cheese sauce allow to cool to room temperature before adding to your freezer - I generally pull it out the night before and allow macaroni and cheese to reach room temperature; I then add the macaroni and cheese to a buttered baking dish, sprinkle with bread crumbs and then bake for 20 to 30 minutes, until golden brown on top and bubbling."
00000026,1,Preheat your oven to 450°F.
00000026,2,"Combine the dry ingredients in a bowl, or in the bowl of a food processor."
00000026,3,Cut the butter into chunks and cut into the flour until it resembles course meal.
00000026,4,"If using a food processor, just pulse a few times until this consistency is achieved."
00000026,5,Add the buttermilk and mix JUST until combined.
00000026,6,"If it appears on the dry side, add a bit more buttermilk. It should be very wet."
00000026,7,Turn the dough out onto a floured board.
00000026,8,"Gently, gently PAT (do NOT roll with a rolling pin) the dough out until it's about 1/2"" thick. Fold the dough about 5 times, gently press the dough down to a 1 inch thick."
00000026,9,Use a round cutter to cut into rounds.
00000026,10,"You can gently knead the scraps together and make a few more, but they will not be anywhere near as good as the first ones."
00000026,11,"Place the biscuits on a cookie sheet- if you like soft sides, put them touching each other."
00000026,12,"If you like""crusty"" sides, put them about 1 inch apart- these will not rise as high as the biscuits put close together."
00000026,13,Bake for about 10-12 minutes- the biscuits will be a beautiful light golden brown on top and bottom.
00000026,14,Do not overbake.
00000026,15,"Note: The key to real biscuits is not in the ingredients, but in the handling of the dough."
00000026,16,The dough must be handled as little as possible or you will have tough biscuits.
00000026,17,"I have found that a food processor produces superior biscuits, because the ingredients stay colder and there's less chance of overmixing."
00000026,18,"You also must pat the dough out with your hands, lightly."
00000026,19,"Rolling with a rolling pin is a guaranteed way to overstimulate the gluten, resulting in a tougher biscuit."
00000026,20,"Note 2: You can make these biscuits, cut them, put them on cookie sheets and freeze them for up to a month."
00000026,21,"When you want fresh biscuits, simply place them frozen on the cookie sheet and bake at 450°F for about 20 minutes."
00000027,1,Preheat oven to 350°F.
00000027,2,"Mix softened butter, 1 1/2 cups sugar, 1tps of vanilla extract and eggs thoroughly in a large bowl."
00000027,3,"Combine flour, cream of tartar, baking soda and salt in a separate bowl."
00000027,4,Blend dry ingredients into butter mixture.
00000027,5,"Chill dough, and chill an ungreased cookie sheet for about 10-15 minutes in the fridge."
00000027,6,"Meanwhile, mix 3 tablespoons sugar, and 3 teaspoons cinnamon in a small bowl."
00000027,7,Scoop 1 inch globs of dough into the sugar/ cinnamon mixture.
00000027,8,Coat by gently rolling balls of dough in the sugar mixture.
00000027,9,"Place on chilled ungreased cookie sheet, and bake 10 minutes."
00000027,10,Remove from pan immediately.
00000028,1,"Combine broth, potatoes, and spices."
00000028,2,Boil on medium heat until potatoes are tender.
00000028,3,Smash a few of the potatoes to release their starch for thickening.
00000028,4,Reduce to low heat.
00000028,5,Add cream cheese.
00000028,6,"Heat, stirring frequently, until cheese melts."
00000029,1,"In a small bowl, combine the spices."
00000029,2,Remove any giblets from chicken and clean chicken.
00000029,3,Rub spice mixture onto the chicken.
00000029,4,Place in resealable plastic bag and refrigerate overnight. (I usually skip this step because I'm always in a hurry).
00000029,5,"When ready to cook, put chopped onion in bottom of crock pot."
00000029,6,"Add chicken. No liquid is needed, the chicken will make its own juices."
00000029,7,Cook on low 4-8 hours.
00000029,8,Note: I highly recommend a pop-up timer in the chicken because some crock pots cook faster/slower than others (my crock pot cooks this recipe in 4-5 hours).
00000030,1,Preheat oven to 400°F.
00000030,2,"Saute onion, celery, carrots and potatoes in margarine for 10 minutes."
00000030,3,"Add flour to sauteed mixture, stirring well, cook one minute stirring constantly."
00000030,4,Combine broth and half and half.
00000030,5,Gradually stir into vegetable mixture.
00000030,6,Cook over medium heat stirring constantly until thickened and bubbly.
00000030,7,Stir in salt and pepper; add chicken and stir well.
00000030,8,Pour into shallow 2 quart casserole dish and top with pie shells.
00000030,9,Cut slits to allow steam to escape.
00000030,10,Bake for 40-50 minutes or until pastry is golden brown and filling is bubbly and cooked through.
